"SUID","__mclCluster","name","selected","shared name"
"1263","2","IPO5","false","IPO5"
"1264","2","NUP62","false","NUP62"
"2292","2","CTDSPL","false","CTDSPL"
"2421","2","TMEM67","false","TMEM67"
"2359","2","TMEM199","false","TMEM199"
"704","2","MUC1","false","MUC1"
"705","2","TBP","false","TBP"
"1801","2","ATP6V0A2","false","ATP6V0A2"
"1802","2","ATP6V0A1","false","ATP6V0A1"
"2443","2","CCDC115","false","CCDC115"
"1423","2","PPARG","false","PPARG"
"1553","2","ACTBL2","false","ACTBL2"
"2389","2","TMEM59L","false","TMEM59L"
"1818","2","LGALS8","false","LGALS8"
"1498","2","ACTA2","false","ACTA2"
"2398","2","TMEM63B","false","TMEM63B"
"1822","2","ATP11C","false","ATP11C"
"1823","2","LAMA4","false","LAMA4"
"1824","2","CNTN1","false","CNTN1"
"673","2","HSPA1L","false","HSPA1L"
"1825","2","ATP6V0D1","false","ATP6V0D1"
"674","2","MCAM","false","MCAM"
"1446","2","ADRB2","false","ADRB2"
"2473","2","VAMP2","false","VAMP2"
"2411","2","MYADM","false","MYADM"
