"SUID","__mclCluster","name","selected","shared name"
"10511","18","KRTAP10-4","false","KRTAP10-4"
"10512","18","KRTAP10-5","false","KRTAP10-5"
"10513","18","KRTAP10-7","false","KRTAP10-7"
"8659","18","ZNF32","false","ZNF32"
"9015","18","KRTAP10-8","false","KRTAP10-8"
"9016","18","KRTAP10-3","false","KRTAP10-3"
"6906","18","LIMS2","false","LIMS2"
"9946","18","KRTAP10-9","false","KRTAP10-9"
"8347","18","ZNF101","false","ZNF101"
"10207","18","ZSCAN21","false","ZSCAN21"
"6403","18","CRCT1","false","CRCT1"
"8997","18","NOTCH2NL","false","NOTCH2NL"
"10501","18","ZNF679","false","ZNF679"
"10510","18","KRTAP10-1","false","KRTAP10-1"
