"SUID","name","selected","shared name"
"788847","ILK","false","ILK"
"788848","DDX3X","false","DDX3X"
"788849","COPG1","false","COPG1"
"788850","CDKN2A","false","CDKN2A"
"788851","CDK6","false","CDK6"
"788852","RXRA","false","RXRA"
"788853","CTNNB1","false","CTNNB1"
"788854","MUC1","false","MUC1"
"788855","TP53","false","TP53"
"788856","EGFR","false","EGFR"
"788857","MET","false","MET"
"788858","CDKN1A","false","CDKN1A"
"788859","PTPRF","false","PTPRF"
"788860","PARP1","false","PARP1"
"788861","CCL5","false","CCL5"
"788862","SDC1","false","SDC1"
"788863","HDAC4","false","HDAC4"
"788864","CXCL8","false","CXCL8"
"788865","RYR2","false","RYR2"
"788866","VIM","false","VIM"
"788867","ULK2","false","ULK2"
"788868","SETDB1","false","SETDB1"
"788869","HGF","false","HGF"
"788870","CCL3","false","CCL3"
"788871","IL1A","false","IL1A"
"788872","RAF1","false","RAF1"
"788873","BCL2","false","BCL2"
"788874","FN1","false","FN1"
"788875","CXCL12","false","CXCL12"
"788876","CCL7","false","CCL7"
"788877","NF2","false","NF2"
"788878","FGF9","false","FGF9"
"788879","TXN","false","TXN"
"788880","IFNG","false","IFNG"
"788881","IL2RA","false","IL2RA"
"788882","APOA1","false","APOA1"
"788883","WT1","false","WT1"
"788884","BCL10","false","BCL10"
"788885","AGO1","false","AGO1"
"788886","AGO2","false","AGO2"
"788887","SETD2","false","SETD2"
"788888","WWC1","false","WWC1"
"788889","SERPINA4","false","SERPINA4"
"788890","CCNE2","false","CCNE2"
"788891","MIF","false","MIF"
"788892","TNFRSF8","false","TNFRSF8"
"788893","TBL1XR1","false","TBL1XR1"
"788894","IGF2BP3","false","IGF2BP3"
"788895","SF3B1","false","SF3B1"
"788896","ANXA2","false","ANXA2"
"788897","PYCARD","false","PYCARD"
"788898","TF","false","TF"
"788899","C9","false","C9"
"788900","SOD2","false","SOD2"
"788901","CXCL13","false","CXCL13"
"788902","FTH1","false","FTH1"
"788903","SLC2A1","false","SLC2A1"
"788904","CLEC11A","false","CLEC11A"
"788905","TRAF7","false","TRAF7"
"788906","NAT2","false","NAT2"
"788907","OSMR","false","OSMR"
"788908","KIT","false","KIT"
"788909","MTMR4","false","MTMR4"
"788910","F9","false","F9"
"788911","LIMCH1","false","LIMCH1"
"788912","BAP1","false","BAP1"
"788913","IL6","false","IL6"
"788914","SMARCA2","false","SMARCA2"
"788915","EPHX1","false","EPHX1"
"788916","IL3","false","IL3"
"788917","MDK","false","MDK"
"788918","GPR37","false","GPR37"
"788919","EFEMP1","false","EFEMP1"
"788920","IL12B","false","IL12B"
