"SUID","__mclCluster","name","selected","shared name"
"616937","1","RPL7","false","RPL7"
"616938","1","GSTP1","false","GSTP1"
"616939","1","GART","false","GART"
"616940","1","PA2G4","false","PA2G4"
"616941","3","RPL23AP42","false","RPL23AP42"
"616942","1","RPL23A","false","RPL23A"
"616943","1","HSD17B10","false","HSD17B10"
"616944","1","CCAR2","false","CCAR2"
"616945","1","ESYT1","false","ESYT1"
"616946","1","ATP5A1","false","ATP5A1"
"616947","1","XPO1","false","XPO1"
"616948","1","FARSB","false","FARSB"
"616949","1","MYH9","false","MYH9"
"616950","1","ANP32B","false","ANP32B"
"616951","1","TARS","false","TARS"
"616952","1","HNRNPF","false","HNRNPF"
"616953","1","VASP","false","VASP"
"616954","1","FLNB","false","FLNB"
"616955","1","MACF1","false","MACF1"
"616956","1","KRT18","false","KRT18"
"616957","1","STON2","false","STON2"
"616958","1","MYL1","false","MYL1"
"616959","1","KPNA2","false","KPNA2"
"616960","1","ENO1","false","ENO1"
"616961","1","RPL8","false","RPL8"
"616962","1","HIST1H2BJ","false","HIST1H2BJ"
"616963","1","AARS","false","AARS"
"616964","1","MRTO4","false","MRTO4"
"616965","1","TPM3","false","TPM3"
"616966","1","PDIA6","false","PDIA6"
"616967","1","QKI","false","QKI"
"616968","1","RAB10","false","RAB10"
"616969","1","TRAP1","false","TRAP1"
"616970","1","BMP2K","false","BMP2K"
"616971","1","SRSF3","false","SRSF3"
"616972","1","IGF2R","false","IGF2R"
"616973","1","EIF5","false","EIF5"
"616974","1","PSMB3","false","PSMB3"
"616975","1","PTPRCAP","false","PTPRCAP"
"616976","1","CORO1B","false","CORO1B"
"616977","1","LRRC59","false","LRRC59"
"616978","1","ACTR3","false","ACTR3"
"616979","1","H2AFV","false","H2AFV"
"616980","1","MPP1","false","MPP1"
"616981","1","C14orf166","false","C14orf166"
"616982","3","KRT81","false","KRT81"
"616983","1","IMPDH2","false","IMPDH2"
"616984","1","HIST1H2AA","false","HIST1H2AA"
"616985","1","SEPT2","false","SEPT2"
"616986","1","MRPS28","false","MRPS28"
"616987","1","KIAA0368","false","KIAA0368"
"616988","1","SIPA1","false","SIPA1"
"616989","1","HNRNPH2","false","HNRNPH2"
"616990","1","SSB","false","SSB"
"616991","1","RAB35","false","RAB35"
"616992","1","EIF5B","false","EIF5B"
"616993","1","RAB11A","false","RAB11A"
"616994","1","TUBB6","false","TUBB6"
"616995","1","SEC24C","false","SEC24C"
"616996","1","RPS26","false","RPS26"
"616997","1","ESYT2","false","ESYT2"
"616998","1","DBN1","false","DBN1"
"616999","1","EPB41","false","EPB41"
"617000","3","AKR1C1","false","AKR1C1"
"617001","1","MAP4","false","MAP4"
"617002","1","PHGDH","false","PHGDH"
"617003","1","ATP6V1B2","false","ATP6V1B2"
"617004","1","NACA","false","NACA"
"617005","1","HMGB2","false","HMGB2"
"617006","1","TFAM","false","TFAM"
"617007","1","ARPC4","false","ARPC4"
"617008","1","GALE","false","GALE"
"617009","1","BZW2","false","BZW2"
"617010","1","TTLL12","false","TTLL12"
"617011","1","SMCHD1","false","SMCHD1"
"617012","1","SEC23B","false","SEC23B"
"617013","1","OLA1","false","OLA1"
"617014","1","RPS23","false","RPS23"
"617015","1","GAR1","false","GAR1"
"617016","1","SNX15","false","SNX15"
"617017","1","ARL2","false","ARL2"
"617018","1","PFKP","false","PFKP"
"617019","1","NCBP1","false","NCBP1"
"617020","1","CNOT1","false","CNOT1"
"617021","1","KANK2","false","KANK2"
"617022","1","ALDH1B1","false","ALDH1B1"
"617023","1","COX2","false","COX2"
"617024","1","GNAI3","false","GNAI3"
"617025","1","FEN1","false","FEN1"
"617026","1","RPS15","false","RPS15"
"617027","1","SNAP23","false","SNAP23"
"617028","1","RBM12","false","RBM12"
"617029","1","RPL28","false","RPL28"
"617030","1","PDAP1","false","PDAP1"
"617031","1","PGK1","false","PGK1"
"617032","1","BROX","false","BROX"
"617033","1","VPS26A","false","VPS26A"
"617034","1","GDI2","false","GDI2"
"617035","1","ABCF1","false","ABCF1"
"617036","1","DDX47","false","DDX47"
"617037","1","NAPG","false","NAPG"
"617038","1","CNN2","false","CNN2"
"617039","1","APOBEC3D","false","APOBEC3D"
"617040","1","APOBEC3C","false","APOBEC3C"
"617041","1","ARHGEF1","false","ARHGEF1"
"617042","1","CKAP5","false","CKAP5"
"617043","1","SUPT5H","false","SUPT5H"
"617044","1","CLTB","false","CLTB"
"617045","1","ST13","false","ST13"
"617046","1","ACOT13","false","ACOT13"
"617047","1","EIF2S3","false","EIF2S3"
"617048","1","FAU","false","FAU"
"617049","1","KRT5","false","KRT5"
"617050","1","ACLY","false","ACLY"
"617051","1","PDLIM5","false","PDLIM5"
"617052","1","MRPL13","false","MRPL13"
"617053","1","KIDINS220","false","KIDINS220"
"617054","1","NOP58","false","NOP58"
"617055","1","CPSF6","false","CPSF6"
"617056","1","DAB2","false","DAB2"
"617057","1","POLR1C","false","POLR1C"
"617058","1","SLC25A1","false","SLC25A1"
"617059","1","DHX30","false","DHX30"
"617060","1","RPL31","false","RPL31"
"617061","1","RTCB","false","RTCB"
"617062","1","LCP1","false","LCP1"
"617063","1","HADHA","false","HADHA"
"617064","1","PRPF4","false","PRPF4"
"617065","1","RAB7A","false","RAB7A"
"617066","1","PRPS2","false","PRPS2"
"617067","1","STXBP3","false","STXBP3"
"617068","1","SRP14","false","SRP14"
"617069","1","AP2A2","false","AP2A2"
"617070","1","FLOT1","false","FLOT1"
"617071","1","RPL29","false","RPL29"
"617072","1","SUB1","false","SUB1"
"617073","2","SLC5A3","false","SLC5A3"
"617074","1","CELF2","false","CELF2"
"617075","2","PSMD5","false","PSMD5"
"617076","1","NECAP2","false","NECAP2"
"617077","1","DLD","false","DLD"
"617078","1","VPS35","false","VPS35"
"617079","1","SNRPB","false","SNRPB"
"617080","1","CAP1","false","CAP1"
"617081","1","SNRPE","false","SNRPE"
"617082","1","NDUFA5","false","NDUFA5"
"617083","1","LASP1","false","LASP1"
"617084","1","PAFAH1B2","false","PAFAH1B2"
"617085","1","PPID","false","PPID"
"617086","1","NAT10","false","NAT10"
"617087","1","PTGES3","false","PTGES3"
"617088","3","CLIC5","false","CLIC5"
"617089","1","EMG1","false","EMG1"
"617090","1","RPL15","false","RPL15"
"617091","1","GSTK1","false","GSTK1"
"617092","1","MDN1","false","MDN1"
"617093","1","VPS28","false","VPS28"
"617094","1","NARS","false","NARS"
"617095","1","RPL6","false","RPL6"
"617096","1","PAICS","false","PAICS"
"617097","1","ACACA","false","ACACA"
