Input,Approved name
COG4,component of oligomeric golgi complex 4
NID1,nidogen 1
PF4,platelet factor 4
DKK1,dickkopf WNT signaling pathway inhibitor 1
MAST3,microtubule associated serine/threonine kinase 3
GEMIN5,gem nuclear organelle associated protein 5
PKP4,plakophilin 4
MRPL39,mitochondrial ribosomal protein L39
ING4,inhibitor of growth family member 4
SPTBN1,"spectrin beta, non-erythrocytic 1"
MPV17,mitochondrial inner membrane protein MPV17
C1QB,complement C1q B chain
ANKRD13A,ankyrin repeat domain 13A
MZF1,myeloid zinc finger 1
TAF13,TATA-box binding protein associated factor 13
CDK14,cyclin dependent kinase 14
UCK2,uridine-cytidine kinase 2
MIB2,mindbomb E3 ubiquitin protein ligase 2
ARFGAP3,ADP ribosylation factor GTPase activating protein 3
SSR4,signal sequence receptor subunit 4
COMMD10,COMM domain containing 10
MYL3,myosin light chain 3
CCT3,chaperonin containing TCP1 subunit 3
CCR2,C-C motif chemokine receptor 2
UBASH3A,ubiquitin associated and SH3 domain containing A
FCN2,ficolin 2
PPP4C,protein phosphatase 4 catalytic subunit
CYP20A1,cytochrome P450 family 20 subfamily A member 1
MAP2K4,mitogen-activated protein kinase kinase 4
ECSIT,ECSIT signaling integrator
C1QC,complement C1q C chain
RAPH1,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
NUP85,nucleoporin 85
AXL,AXL receptor tyrosine kinase
GAREM1,GRB2 associated regulator of MAPK1 subtype 1
PPT1,palmitoyl-protein thioesterase 1
PSMB1,proteasome 20S subunit beta 1
KAT7,lysine acetyltransferase 7
BTBD18,BTB domain containing 18
MRPL1,mitochondrial ribosomal protein L1
MIRLET7A2,microRNA let-7a-2
ELL3,elongation factor for RNA polymerase II 3
DPP8,dipeptidyl peptidase 8
SLC4A5,solute carrier family 4 member 5
ITSN2,intersectin 2
RNF2,ring finger protein 2
MIRLET7F2,microRNA let-7f-2
CFTR,CF transmembrane conductance regulator
TRA2A,transformer 2 alpha homolog
MT-CO2,mitochondrially encoded cytochrome c oxidase II
ACSL4,acyl-CoA synthetase long chain family member 4
FAM53C,family with sequence similarity 53 member C
HDHD2,haloacid dehalogenase like hydrolase domain containing 2
TEX10,testis expressed 10
NELL1,neural EGFL like 1
CCNB2,cyclin B2
DCBLD2,"discoidin, CUB and LCCL domain containing 2"
AMY1C,amylase alpha 1C
CCL4,C-C motif chemokine ligand 4
TYK2,tyrosine kinase 2
TRAPPC3,trafficking protein particle complex 3
IPO5,importin 5
PEX5L,peroxisomal biogenesis factor 5 like
TCP1,t-complex 1
THRA,thyroid hormone receptor alpha
EFCAB3,EF-hand calcium binding domain 3
MTF1,metal regulatory transcription factor 1
USP4,ubiquitin specific peptidase 4
SUGP2,SURP and G-patch domain containing 2
AR,androgen receptor
ZNF410,zinc finger protein 410
EXOSC4,exosome component 4
C9,complement C9
DYNLL2,dynein light chain LC8-type 2
SRGAP2,SLIT-ROBO Rho GTPase activating protein 2
RLIM,"ring finger protein, LIM domain interacting"
OTUD6B,OTU deubiquitinase 6B
PPARGC1A,PPARG coactivator 1 alpha
SPR,sepiapterin reductase
MAP4K2,mitogen-activated protein kinase kinase kinase kinase 2
U2AF2,U2 small nuclear RNA auxiliary factor 2
DIRAS3,DIRAS family GTPase 3
PTPN6,protein tyrosine phosphatase non-receptor type 6
PRDX2,peroxiredoxin 2
GSPT2,G1 to S phase transition 2
TOPORS,TOP1 binding arginine/serine rich protein
RNPS1,RNA binding protein with serine rich domain 1
CHAF1B,chromatin assembly factor 1 subunit B
LTBP1,latent transforming growth factor beta binding protein 1
RPL17,ribosomal protein L17
HDAC9,histone deacetylase 9
FBLN2,fibulin 2
OR2W3,olfactory receptor family 2 subfamily W member 3
VCP,valosin containing protein
WDR83,WD repeat domain 83
TRDMT1,tRNA aspartic acid methyltransferase 1
FOXP1,forkhead box P1
DPPA4,developmental pluripotency associated 4
SUPT5H,"SPT5 homolog, DSIF elongation factor subunit"
EIF5B,eukaryotic translation initiation factor 5B
TGOLN2,trans-golgi network protein 2
NUB1,negative regulator of ubiquitin like proteins 1
HTR2C,5-hydroxytryptamine receptor 2C
IPO11,importin 11
CCNG1,cyclin G1
CWF19L2,CWF19 like cell cycle control factor 2
CDC45,cell division cycle 45
NCAPH,non-SMC condensin I complex subunit H
PADI1,peptidyl arginine deiminase 1
FBXO30,F-box protein 30
RCN1,reticulocalbin 1
ACTG1,actin gamma 1
CDC42EP5,CDC42 effector protein 5
TOMM34,translocase of outer mitochondrial membrane 34
CUL7,cullin 7
MALT1,MALT1 paracaspase
MAGOHB,"mago homolog B, exon junction complex subunit"
PUM2,pumilio RNA binding family member 2
MTMR4,myotubularin related protein 4
TSC22D4,TSC22 domain family member 4
CCDC47,coiled-coil domain containing 47
WDHD1,WD repeat and HMG-box DNA binding protein 1
SNRPA,small nuclear ribonucleoprotein polypeptide A
SMARCAL1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"
ARPC2,actin related protein 2/3 complex subunit 2
PRDM10,PR/SET domain 10
GPATCH8,G-patch domain containing 8
BLID,"BH3-like motif containing, cell death inducer"
PKD1,"polycystin 1, transient receptor potential channel interacting"
RAB1A,"RAB1A, member RAS oncogene family"
IDH3A,isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha
DNAJB12,DnaJ heat shock protein family (Hsp40) member B12
TPR,"translocated promoter region, nuclear basket protein"
TSHR,thyroid stimulating hormone receptor
MCRS1,microspherule protein 1
ADORA2A,adenosine A2a receptor
ARHGEF17,Rho guanine nucleotide exchange factor 17
HPD,4-hydroxyphenylpyruvate dioxygenase
CETN2,centrin 2
AKTIP,AKT interacting protein
FTL,ferritin light chain
NDFIP2,Nedd4 family interacting protein 2
TNFRSF10B,TNF receptor superfamily member 10b
LEO1,"LEO1 homolog, Paf1/RNA polymerase II complex component"
PTPRK,protein tyrosine phosphatase receptor type K
WHRN,whirlin
BCL3,BCL3 transcription coactivator
ADAM30,ADAM metallopeptidase domain 30
APBA3,amyloid beta precursor protein binding family A member 3
MRPS16,mitochondrial ribosomal protein S16
HNRNPK,heterogeneous nuclear ribonucleoprotein K
RHOQ,ras homolog family member Q
AAAS,aladin WD repeat nucleoporin
HNF4A,hepatocyte nuclear factor 4 alpha
EFHD2,EF-hand domain family member D2
GABPA,GA binding protein transcription factor subunit alpha
GOLM1,golgi membrane protein 1
SMC2,structural maintenance of chromosomes 2
TIMM23,translocase of inner mitochondrial membrane 23
FBXL13,F-box and leucine rich repeat protein 13
VTA1,vesicle trafficking 1
POLR3C,RNA polymerase III subunit C
EIF4A2,eukaryotic translation initiation factor 4A2
DLG1,discs large MAGUK scaffold protein 1
NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2
