sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"ZDHHC23","Approved symbol","ZDHHC23","zinc finger DHHC-type palmitoyltransferase 23","HGNC:28654","3q13.31"
"CDR2","Approved symbol","CDR2","cerebellar degeneration related protein 2","HGNC:1799","16p12.2"
"TNS3","Approved symbol","TNS3","tensin 3","HGNC:21616","7p12.3"
"EWSR1","Approved symbol","EWSR1","EWS RNA binding protein 1","HGNC:3508","22q12.2"
"EHMT1","Approved symbol","EHMT1","euchromatic histone lysine methyltransferase 1","HGNC:24650","9q34.3"
"WASF3","Approved symbol","WASF3","WASP family member 3","HGNC:12734","13q12.13"
"HIC1","Approved symbol","HIC1","HIC ZBTB transcriptional repressor 1","HGNC:4909","17p13.3"
"MIRLET7D","Approved symbol","MIRLET7D","microRNA let-7d","HGNC:31481","9q22.32"
"LINC01554","Approved symbol","LINC01554","long intergenic non-protein coding RNA 1554","HGNC:24687","5q15"
"ZNF398","Approved symbol","ZNF398","zinc finger protein 398","HGNC:18373","7q35"
"EPB41L3","Approved symbol","EPB41L3","erythrocyte membrane protein band 4.1 like 3","HGNC:3380","18p11.31"
"ARRDC1","Approved symbol","ARRDC1","arrestin domain containing 1","HGNC:28633","9q34.3"
"CRTAC1","Approved symbol","CRTAC1","cartilage acidic protein 1","HGNC:14882","10q24.2"
"VEZT","Approved symbol","VEZT","vezatin, adherens junctions transmembrane protein","HGNC:18258","12q22"
"CUL4A","Approved symbol","CUL4A","cullin 4A","HGNC:2554","13q34"
"TRIM25","Approved symbol","TRIM25","tripartite motif containing 25","HGNC:12932","17q23.1"
"ILF2","Approved symbol","ILF2","interleukin enhancer binding factor 2","HGNC:6037","1q21.3"
"RPS18","Approved symbol","RPS18","ribosomal protein S18","HGNC:10401","6p21.32"
"PTAFR","Approved symbol","PTAFR","platelet activating factor receptor","HGNC:9582","1p35.3"
"FBXO28","Approved symbol","FBXO28","F-box protein 28","HGNC:29046","1q42.11"
"GNB5","Approved symbol","GNB5","G protein subunit beta 5","HGNC:4401","15q21.2"
"UBL7","Approved symbol","UBL7","ubiquitin like 7","HGNC:28221","15q24.1"
"SRSF12","Approved symbol","SRSF12","serine and arginine rich splicing factor 12","HGNC:21220","6q15"
"HNF1A","Approved symbol","HNF1A","HNF1 homeobox A","HGNC:11621","12q24.31"
"LCOR","Approved symbol","LCOR","ligand dependent nuclear receptor corepressor","HGNC:29503","10q24.1"
"ACLY","Approved symbol","ACLY","ATP citrate lyase","HGNC:115","17q21.2"
"TAF9","Approved symbol","TAF9","TATA-box binding protein associated factor 9","HGNC:11542","5q13.2"
"MIR7-2","Approved symbol","MIR7-2","microRNA 7-2","HGNC:31639","15q26.1"
"VAV2","Approved symbol","VAV2","vav guanine nucleotide exchange factor 2","HGNC:12658","9q34.2"
"YIPF3","Approved symbol","YIPF3","Yip1 domain family member 3","HGNC:21023","6p21.1"
"SMARCA1","Approved symbol","SMARCA1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1","HGNC:11097","Xq25-q26.1"
"TBX5","Approved symbol","TBX5","T-box transcription factor 5","HGNC:11604","12q24.21"
"IFIT5","Approved symbol","IFIT5","interferon induced protein with tetratricopeptide repeats 5","HGNC:13328","10q23.31"
"POLA1","Approved symbol","POLA1","DNA polymerase alpha 1, catalytic subunit","HGNC:9173","Xp22.11-p21.3"
"NMT2","Approved symbol","NMT2","N-myristoyltransferase 2","HGNC:7858","10p13"
"STAMBP","Approved symbol","STAMBP","STAM binding protein","HGNC:16950","2p13.1"
"ITGB4","Approved symbol","ITGB4","integrin subunit beta 4","HGNC:6158","17q25.1"
"KLF8","Approved symbol","KLF8","Kruppel like factor 8","HGNC:6351","Xp11.21"
"THOC5","Approved symbol","THOC5","THO complex 5","HGNC:19074","22q12.2"
"FAM204A","Approved symbol","FAM204A","family with sequence similarity 204 member A","HGNC:25794","10q26.11"
"RTN4","Approved symbol","RTN4","reticulon 4","HGNC:14085","2p16.1"
"TRIP6","Approved symbol","TRIP6","thyroid hormone receptor interactor 6","HGNC:12311","7q22.1"
"IL13RA2","Approved symbol","IL13RA2","interleukin 13 receptor subunit alpha 2","HGNC:5975","Xq23"
"MED8","Approved symbol","MED8","mediator complex subunit 8","HGNC:19971","1p34.2"
"PYGO2","Approved symbol","PYGO2","pygopus family PHD finger 2","HGNC:30257","1q21.3"
"RPS26P11","Approved symbol","RPS26P11","ribosomal protein S26 pseudogene 11","HGNC:31817","Xq13.1"
"SNRNP70","Approved symbol","SNRNP70","small nuclear ribonucleoprotein U1 subunit 70","HGNC:11150","19q13.33"
"IL12B","Approved symbol","IL12B","interleukin 12B","HGNC:5970","5q33.3"
"ACTC1","Approved symbol","ACTC1","actin alpha cardiac muscle 1","HGNC:143","15q14"
"MIRLET7A1","Approved symbol","MIRLET7A1","microRNA let-7a-1","HGNC:31476","9q22.32"
"SHMT2","Approved symbol","SHMT2","serine hydroxymethyltransferase 2","HGNC:10852","12q13.3"
"ARID4B","Approved symbol","ARID4B","AT-rich interaction domain 4B","HGNC:15550","1q42.3"
"NSUN2","Approved symbol","NSUN2","NOP2/Sun RNA methyltransferase 2","HGNC:25994","5p15.31"
"HSPA1A","Approved symbol","HSPA1A","heat shock protein family A (Hsp70) member 1A","HGNC:5232","6p21.33"
"PRAM1","Approved symbol","PRAM1","PML-RARA regulated adaptor molecule 1","HGNC:30091","19p13.2"
"CRBN","Approved symbol","CRBN","cereblon","HGNC:30185","3p26.2"
"PIK3R1","Approved symbol","PIK3R1","phosphoinositide-3-kinase regulatory subunit 1","HGNC:8979","5q13.1"
"ZBTB4","Approved symbol","ZBTB4","zinc finger and BTB domain containing 4","HGNC:23847","17p13.1"
"PRKG1","Approved symbol","PRKG1","protein kinase cGMP-dependent 1","HGNC:9414","10q11.23-q21.1"
"CST4","Approved symbol","CST4","cystatin S","HGNC:2476","20p11.21"
"ALDH3B1","Approved symbol","ALDH3B1","aldehyde dehydrogenase 3 family member B1","HGNC:410","11q13.2"
"TP53TG1","Approved symbol","TP53TG1","TP53 target 1","HGNC:17026","7q21.12"
"HDHD2","Approved symbol","HDHD2","haloacid dehalogenase like hydrolase domain containing 2","HGNC:25364","18q21.1"
"MRPS5","Approved symbol","MRPS5","mitochondrial ribosomal protein S5","HGNC:14498","2q11.1"
"AMBP","Approved symbol","AMBP","alpha-1-microglobulin/bikunin precursor","HGNC:453","9q32"
"MTPAP","Approved symbol","MTPAP","mitochondrial poly(A) polymerase","HGNC:25532","10p11.23"
"PACRG","Approved symbol","PACRG","parkin coregulated","HGNC:19152","6q26"
"TRIP10","Approved symbol","TRIP10","thyroid hormone receptor interactor 10","HGNC:12304","19p13.3"
"PPM1B","Approved symbol","PPM1B","protein phosphatase, Mg2+/Mn2+ dependent 1B","HGNC:9276","2p21"
"VAMP8","Approved symbol","VAMP8","vesicle associated membrane protein 8","HGNC:12647","2p11.2"
"ACKR1","Approved symbol","ACKR1","atypical chemokine receptor 1 (Duffy blood group)","HGNC:4035","1q23.2"
"PRKCQ","Approved symbol","PRKCQ","protein kinase C theta","HGNC:9410","10p15.1"
"CTTN","Approved symbol","CTTN","cortactin","HGNC:3338","11q13.3"
"PPIG","Approved symbol","PPIG","peptidylprolyl isomerase G","HGNC:14650","2q31.1"
"DDX1","Approved symbol","DDX1","DEAD-box helicase 1","HGNC:2734","2p24.3"
"SLC27A6","Approved symbol","SLC27A6","solute carrier family 27 member 6","HGNC:11000","5q23.3"
"BNIP1","Approved symbol","BNIP1","BCL2 interacting protein 1","HGNC:1082","5q35.1"
"GIPC1","Approved symbol","GIPC1","GIPC PDZ domain containing family member 1","HGNC:1226","19p13.12"
"S100A4","Approved symbol","S100A4","S100 calcium binding protein A4","HGNC:10494","1q21.3"
"TOR1AIP2","Approved symbol","TOR1AIP2","torsin 1A interacting protein 2","HGNC:24055","1q25.2"
"UBE3A","Approved symbol","UBE3A","ubiquitin protein ligase E3A","HGNC:12496","15q11.2"
"PLA1A","Approved symbol","PLA1A","phospholipase A1 member A","HGNC:17661","3q13.33"
"CRY1","Approved symbol","CRY1","cryptochrome circadian regulator 1","HGNC:2384","12q23.3"
"DLEU1","Approved symbol","DLEU1","deleted in lymphocytic leukemia 1","HGNC:13747","13q14.2-q14.3"
"THEM6","Approved symbol","THEM6","thioesterase superfamily member 6","HGNC:29656","8q24.3"
"PANX1","Approved symbol","PANX1","pannexin 1","HGNC:8599","11q21"
"TTLL12","Approved symbol","TTLL12","tubulin tyrosine ligase like 12","HGNC:28974","22q13.2"
"MTHFD1","Approved symbol","MTHFD1","methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1","HGNC:7432","14q23.3"
"CALU","Approved symbol","CALU","calumenin","HGNC:1458","7q32.1"
"NRP2","Approved symbol","NRP2","neuropilin 2","HGNC:8005","2q33.3"
"BNIPL","Approved symbol","BNIPL","BCL2 interacting protein like","HGNC:16976","1q21.3"
"RPS16","Approved symbol","RPS16","ribosomal protein S16","HGNC:10396","19q13.2"
"SMARCA4","Approved symbol","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","HGNC:11100","19p13.2"
"TNRC6A","Approved symbol","TNRC6A","trinucleotide repeat containing adaptor 6A","HGNC:11969","16p12.1"
"GSTK1","Approved symbol","GSTK1","glutathione S-transferase kappa 1","HGNC:16906","7q34"
"CBLB","Approved symbol","CBLB","Cbl proto-oncogene B","HGNC:1542","3q13.11"
"KAT2B","Approved symbol","KAT2B","lysine acetyltransferase 2B","HGNC:8638","3p24.3"
"SEC61B","Approved symbol","SEC61B","SEC61 translocon subunit beta","HGNC:16993","9q22.33"
"GNG12","Approved symbol","GNG12","G protein subunit gamma 12","HGNC:19663","1p31.3"
"LARP7","Approved symbol","LARP7","La ribonucleoprotein 7, transcriptional regulator","HGNC:24912","4q25"
"CYHR1","Approved symbol","CYHR1","cysteine and histidine rich 1","HGNC:17806","8q24.3"
"BMP2","Approved symbol","BMP2","bone morphogenetic protein 2","HGNC:1069","20p12.3"
"IQGAP3","Approved symbol","IQGAP3","IQ motif containing GTPase activating protein 3","HGNC:20669","1q22"
"ARHGAP17","Approved symbol","ARHGAP17","Rho GTPase activating protein 17","HGNC:18239","16p12.1"
"MRPS22","Approved symbol","MRPS22","mitochondrial ribosomal protein S22","HGNC:14508","3q23"
"TAB2","Approved symbol","TAB2","TGF-beta activated kinase 1 (MAP3K7) binding protein 2","HGNC:17075","6q25.1"
"MZT2B","Approved symbol","MZT2B","mitotic spindle organizing protein 2B","HGNC:25886","2q21.1"
"PRG2","Approved symbol","PRG2","proteoglycan 2, pro eosinophil major basic protein","HGNC:9362","11q12.1"
"ANXA11","Approved symbol","ANXA11","annexin A11","HGNC:535","10q22.3"
"TNIK","Approved symbol","TNIK","TRAF2 and NCK interacting kinase","HGNC:30765","3q26.2-q26.31"
"SNIP1","Approved symbol","SNIP1","Smad nuclear interacting protein 1","HGNC:30587","1p34.3"
"POLE3","Approved symbol","POLE3","DNA polymerase epsilon 3, accessory subunit","HGNC:13546","9q32"
"FBLN2","Approved symbol","FBLN2","fibulin 2","HGNC:3601","3p25.1"
"RORC","Approved symbol","RORC","RAR related orphan receptor C","HGNC:10260","1q21"
"RASSF1","Approved symbol","RASSF1","Ras association domain family member 1","HGNC:9882","3p21.31"
"MIR363","Approved symbol","MIR363","microRNA 363","HGNC:32023","Xq26.2"
"BAD","Approved symbol","BAD","BCL2 associated agonist of cell death","HGNC:936","11q13.1"
"MALAT1","Approved symbol","MALAT1","metastasis associated lung adenocarcinoma transcript 1","HGNC:29665","11q13.1"
"CCT3","Approved symbol","CCT3","chaperonin containing TCP1 subunit 3","HGNC:1616","1q22"
"HCFC1","Approved symbol","HCFC1","host cell factor C1","HGNC:4839","Xq28"
"CHD7","Approved symbol","CHD7","chromodomain helicase DNA binding protein 7","HGNC:20626","8q12.2"
"NDFIP2","Approved symbol","NDFIP2","Nedd4 family interacting protein 2","HGNC:18537","13q31.1"
"DDX51","Approved symbol","DDX51","DEAD-box helicase 51","HGNC:20082","12q24.33"
"ADRB2","Approved symbol","ADRB2","adrenoceptor beta 2","HGNC:286","5q32"
"PDIA3","Approved symbol","PDIA3","protein disulfide isomerase family A member 3","HGNC:4606","15q15.3"
"MIPEP","Approved symbol","MIPEP","mitochondrial intermediate peptidase","HGNC:7104","13q12.12"
"POGZ","Approved symbol","POGZ","pogo transposable element derived with ZNF domain","HGNC:18801","1q21.3"
"PSMA7","Approved symbol","PSMA7","proteasome 20S subunit alpha 7","HGNC:9536","20q13.33"
"LIMS1","Approved symbol","LIMS1","LIM zinc finger domain containing 1","HGNC:6616","2q12.3"
"NDUFAF4","Approved symbol","NDUFAF4","NADH:ubiquinone oxidoreductase complex assembly factor 4","HGNC:21034","6q16.1"
"TRAF1","Approved symbol","TRAF1","TNF receptor associated factor 1","HGNC:12031","9q33.2"
"PCID2","Approved symbol","PCID2","PCI domain containing 2","HGNC:25653","13q34"
"CD9","Approved symbol","CD9","CD9 molecule","HGNC:1709","12p13.31"
"GDPD1","Approved symbol","GDPD1","glycerophosphodiester phosphodiesterase domain containing 1","HGNC:20883","17q22"
"FAM171A2","Approved symbol","FAM171A2","family with sequence similarity 171 member A2","HGNC:30480","17q21.31"
"ZFP64","Approved symbol","ZFP64","ZFP64 zinc finger protein","HGNC:15940","20q13.2"
"ZNF414","Approved symbol","ZNF414","zinc finger protein 414","HGNC:20630","19p13.2"
"CPNE7","Approved symbol","CPNE7","copine 7","HGNC:2320","16q24.3"
"UPF2","Approved symbol","UPF2","UPF2 regulator of nonsense mediated mRNA decay","HGNC:17854","10p14"
"KHK","Approved symbol","KHK","ketohexokinase","HGNC:6315","2p23.3"
"LAPTM5","Approved symbol","LAPTM5","lysosomal protein transmembrane 5","HGNC:29612","1p35.2"
"SUSD4","Approved symbol","SUSD4","sushi domain containing 4","HGNC:25470","1q41"
"ZZZ3","Approved symbol","ZZZ3","zinc finger ZZ-type containing 3","HGNC:24523","1p31.1"
